date,open,high,low,close,volume
2024-01-24 09:00:00,99671,100652,96434,99279,1929345
2024-01-25 09:00:00,98298,98298,94570,96238,1854489
2024-01-26 09:00:00,94766,105949,94177,105165,2983134
2024-01-29 09:00:00,106930,107127,101633,102222,2280616
2024-01-30 09:00:00,103987,107519,100063,100456,1901328
2024-01-31 09:00:00,99278,102025,98101,98494,1039864
2024-02-01 09:00:00,98298,105754,97513,104773,1900156
2024-02-02 09:00:00,105950,108893,102222,107716,1898087
2024-02-05 09:00:00,106146,109285,104772,105950,1223458
2024-02-06 09:00:00,103988,104380,99083,99868,2145507
2024-02-07 09:00:00,103007,122627,103007,113602,7687845
2024-02-08 09:00:00,117133,128709,114779,127140,6445941
2024-02-13 09:00:00,127138,135576,122430,124589,5349615
2024-02-14 09:00:00,121646,124197,116740,122039,3533555
2024-02-15 09:00:00,124588,127532,121841,124589,2009175
2024-02-16 09:00:00,129494,130082,124000,125570,2128204
2024-02-19 09:00:00,121841,123410,118506,118703,2445179
2024-02-20 09:00:00,116347,119095,112620,117722,2909455
2024-02-21 09:00:00,115563,121646,113994,117722,1904972
2024-02-22 09:00:00,117721,118702,115955,116937,1069486
2024-02-23 09:00:00,116937,119095,114975,116349,1216129
2024-02-26 09:00:00,114778,118505,114581,115760,1037938
2024-02-27 09:00:00,117329,119488,113602,113602,1597089
2024-02-28 09:00:00,117526,121450,114779,115368,3648226
2024-02-29 09:00:00,116545,121253,114975,121254,2266605
2024-03-04 09:00:00,122430,124981,120076,124197,2160838
2024-03-05 09:00:00,121448,123215,118703,118703,1780923
2024-03-06 09:00:00,116937,120273,116152,117330,1126427
2024-03-07 09:00:00,117525,119684,115759,117722,1016700
2024-03-08 09:00:00,117918,119095,114974,115956,1289660
2024-03-11 09:00:00,115956,117133,114778,114779,815618
2024-03-12 09:00:00,115563,121646,115367,120665,1848088
2024-03-13 09:00:00,121254,121449,119292,120077,968806
2024-03-14 09:00:00,119095,119488,117133,119488,874185
2024-03-15 09:00:00,117721,118114,116740,117918,810680
2024-03-18 09:00:00,117721,121057,117721,120665,900525
2024-03-19 09:00:00,121842,122038,118113,119880,838309
2024-03-20 09:00:00,119880,121646,118703,119096,602963
